date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-04-08,ovin reforme,,,,16000,20000
2022-04-07,agneau,,,,27000,29000
2022-04-07,escaloppe,,,,12000,15990
2022-04-07,poulet (pac),,,,7425,7820
2022-04-07,bœuf avec os,,,,16000,18000
2022-04-07,bœuf sans os,,,,25000,28000
2022-04-07,ovin reforme,,,,17000,20000
2022-04-06,agneau,,,,27000,29000
2022-04-06,escaloppe,,,,12000,15990
2022-04-06,poulet (pac),,,,7425,7820
2022-04-06,bœuf avec os,,,,16000,18000
2022-04-06,bœuf sans os,,,,25000,28000
2022-04-06,ovin reforme,,,,17000,20000
2022-04-05,agneau,,,,26000,29000
2022-04-05,escaloppe,,,,11790,15990
2022-04-05,poulet (pac),,,,7245,7820
2022-04-05,bœuf avec os,,,,17000,18000
2022-04-05,bœuf sans os,,,,26000,27500
2022-04-05,ovin reforme,,,,17000,18000
2022-04-04,agneau,,,,26000,28000
2022-04-04,escaloppe,,,,11790,15990
2022-04-04,poulet (pac),,,,7245,7820
2022-04-04,bœuf avec os,,,,17000,18000
2022-04-04,bœuf sans os,,,,26000,27500
