date,parameter,value,unite
2025-05-16 15:00:00,Contenu volumétrique d'eau,326.9,%
2025-05-16 17:00:00,Contenu volumétrique d'eau,321.2,%
2025-05-16 19:00:00,Contenu volumétrique d'eau,293.0,%
2025-05-16 21:00:00,Contenu volumétrique d'eau,264.5,%
2025-05-16 22:00:00,Contenu volumétrique d'eau,278.9,%
2025-05-16 23:00:00,Contenu volumétrique d'eau,292.9,%
2025-05-17 03:00:00,Contenu volumétrique d'eau,356.5,%
2025-05-17 04:00:00,Contenu volumétrique d'eau,251.3,%
2025-05-17 05:00:00,Contenu volumétrique d'eau,200.2,%
2025-05-17 06:00:00,Contenu volumétrique d'eau,272.0,%
2025-05-17 07:00:00,Contenu volumétrique d'eau,279.9,%
2025-05-17 08:00:00,Contenu volumétrique d'eau,287.9,%
2025-05-17 09:00:00,Contenu volumétrique d'eau,316.5,%
2025-05-17 10:00:00,Contenu volumétrique d'eau,287.8,%
2025-05-17 11:00:00,Contenu volumétrique d'eau,206.1,%
2025-05-17 12:00:00,Contenu volumétrique d'eau,319.2,%
2025-05-17 13:00:00,Contenu volumétrique d'eau,287.6,%
2025-05-17 14:00:00,Contenu volumétrique d'eau,188.3,%
2025-05-17 15:00:00,Contenu volumétrique d'eau,303.6,%
2025-05-16 01:00:00,L'humidité du sol,84.3,mV
2025-05-16 02:00:00,L'humidité du sol,100.7,mV
2025-05-16 03:00:00,L'humidité du sol,85.1,mV
2025-05-16 04:00:00,L'humidité du sol,89.1,mV
2025-05-16 05:00:00,L'humidité du sol,86.1,mV
2025-05-16 06:00:00,L'humidité du sol,86.1,mV
2025-05-16 07:00:00,L'humidité du sol,87.1,mV
2025-05-16 08:00:00,L'humidité du sol,92.1,mV
2025-05-16 11:00:00,L'humidité du sol,94.9,mV
2025-05-16 13:00:00,L'humidité du sol,94.4,mV
2025-05-16 15:00:00,L'humidité du sol,85.8,mV
2025-05-16 17:00:00,L'humidité du sol,97.2,mV
2025-05-16 19:00:00,L'humidité du sol,97.1,mV
2025-05-16 21:00:00,L'humidité du sol,96.4,mV
2025-05-16 22:00:00,L'humidité du sol,97.8,mV
2025-05-16 23:00:00,L'humidité du sol,97.0,mV
2025-05-17 03:00:00,L'humidité du sol,91.8,mV
2025-05-17 04:00:00,L'humidité du sol,90.4,mV
2025-05-17 05:00:00,L'humidité du sol,90.7,mV
2025-05-17 06:00:00,L'humidité du sol,89.6,mV
2025-05-17 07:00:00,L'humidité du sol,93.9,mV
2025-05-17 08:00:00,L'humidité du sol,96.3,mV
2025-05-17 09:00:00,L'humidité du sol,96.0,mV
2025-05-17 10:00:00,L'humidité du sol,96.5,mV
2025-05-17 11:00:00,L'humidité du sol,95.4,mV
2025-05-17 12:00:00,L'humidité du sol,95.8,mV
2025-05-17 13:00:00,L'humidité du sol,96.1,mV
2025-05-17 14:00:00,L'humidité du sol,96.0,mV
2025-05-17 15:00:00,L'humidité du sol,98.0,mV
2025-05-16 01:00:00,Température,18.2,°C
2025-05-16 02:00:00,Température,18.0,°C
2025-05-16 03:00:00,Température,17.9,°C
2025-05-16 04:00:00,Température,17.7,°C
2025-05-16 05:00:00,Température,17.6,°C
2025-05-16 06:00:00,Température,17.4,°C
2025-05-16 07:00:00,Température,17.2,°C
2025-05-16 08:00:00,Température,17.0,°C
2025-05-16 11:00:00,Température,16.8,°C
2025-05-16 13:00:00,Température,16.8,°C
2025-05-16 15:00:00,Température,17.0,°C
2025-05-16 17:00:00,Température,17.2,°C
2025-05-16 19:00:00,Température,17.5,°C
2025-05-16 21:00:00,Température,17.6,°C
2025-05-16 22:00:00,Température,17.5,°C
2025-05-16 23:00:00,Température,17.5,°C
