ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2012,منزل الحبيب,قابس,1556338,165594
2012,نبر,الكاف,2380199,413647
2013,الغريبة,صفاقس,299350,69006
2013,مكثر,سليانة,2261000,330780
2013,شربان,المهدية,1469200,204985
2013,بن قردان,مدنين,1468285,293393
2013,سيدي عيش,قفصة,2750835,541939
2013,توزر,توزر,1156581,233338
2013,العلا,القيروان,345000,31809
2013,واد الليل,منــوبة,239036,34971
2013,المزونة,سيدي بوزيد,2641633,370907
2013,سيدي بوزيد الشرقية,سيدي بوزيد,2993929,454516
2013,الزريبة,زغوان,391711,80063
2013,السيجومي,تــونس,1424000,120903
2013,فرنانة,جندوبة,1387522,213126
2013,حيدرة,القصرين,108205,27908
2013,العروسة,سليانة,1763000,179352
2013,قعفور,سليانة,2157000,343133
2014,أولاد حفوز,سيدي بوزيد,1177449,231623
2014,بوعرادة,سليانة,2131000,432291
2014,السرس,الكاف,2895472,339554
2014,رمادة,تطاوين,2530059,554478
2014,هرقلة,سوسة,897000,49992
2014,المكناسي,سيدي بوزيد,1627651,327027
2015,هبيرة,المهدية,2037900,196621
2014,تا لة,القصرين,951497,236002
2014,فريانة,القصرين,2443375,511380
2014,سليانة الجنوبية,سليانة,403000,92416
2014,غارالدماء,جندوبة,760476,87078
2014,سليانة الشما لية,سليانة,1893000,420972
2013,مارث,قابس,5675437,869228
2014,مساكن,سوسة,3029700,161048
2014,الشراردة,القيروان,744000,57721
2014,دوز الشما لية,قبلي,2556876,418047
2015,السند,قفصة,6257754,1346299
2015,الساحلين,المنستير,360700,49416
2015,سبيطلة,القصرين,13540814,2618939
2014,أوتيك,بنزرت,1810809,240449
2015,منزل بوزلفة,نابل,2093365,260975
2014,طينة,صفاقس,9182,1723
2014,باجة الشما لية,باجة,1468706,260566
2014,عقارب,صفاقس,351219,51583
2015,بوعرادة,سليانة,1564000,337504
2014,الجريصة,الكاف,152295,37482
2014,المهدية,المهدية,11167500,693112
2015,أم  العرائس,قفصة,3852333,848102
